username,game,mmrFree,mmrPaid,TOTAL_DUELS_FREE,WINS_FREE,WINNING_STREAK_FREE,LOSING_STREAK_FREE,AVG_score,AVG_score_games,MMR_DUELS,balance
swsyu.wam,candy-fiesta,1402,842,167,124,1,0,10810.1250,40,0,100
t1wqw.wam,candy-fiesta,2085,2325,161,144,17,0,10739.7368,19,0,100
tvsba.wam,candy-fiesta,1510,1470,309,229,1,0,10137.2727,11,0,100
3trks.c.wam,candy-fiesta,2070,970,2429,1520,1,0,8959.6635,104,0,100
hidr.wam,candy-fiesta,1385,975,1396,767,0,2,8721.7105,76,0,100
ufmra.wam,candy-fiesta,1505,1000,745,497,4,0,8678.3333,15,0,100
sdib4.wam,candy-fiesta,1350,915,374,241,0,2,8523.6364,44,0,100
fuobo.wam,candy-fiesta,1380,985,1167,666,2,0,8400.1887,53,0,100
l5d3e.c.wam,candy-fiesta,1000000,10000000,292,168,2,0,8308.1250,16,0,100
g5wru.wam,candy-fiesta,2000,2000,121,61,0,2,8192.5000,14,0,100
bananamonkez,candy-fiesta,1000000,10000000,0,0,0,0,8133.8889,18,0,100
fg2aw.wam,candy-fiesta,1173,1073,52,41,10,0,8102.5000,8,0,100
gv1na.c.wam,candy-fiesta,827,960,4,3,0,1,8081.2500,8,0,100
l1dmk.c.wam,candy-fiesta,1030,1000,1418,697,2,0,8057.8571,7,0,100
rkmay.wam,candy-fiesta,1031,1030,47,31,1,0,7912.9464,56,0,100
fzigdfgizasg,candy-fiesta,1291,1030,253,145,3,0,7911.3985,261,0,100
4bdau.wam,candy-fiesta,890,995,18,3,0,5,7898.0000,5,0,100
frcqu.wam,candy-fiesta,1125,1005,158,99,0,1,7887.5000,8,0,100
vvxrs.wam,candy-fiesta,1244,844,94,67,2,0,7854.5000,90,0,100
ebebc.wam,candy-fiesta,1015,865,687,349,0,1,7820.6356,118,0,100
gderi.wam,candy-fiesta,1061,471,167,102,0,1,7740.7143,7,0,100
cfsbm.wam,candy-fiesta,906,2850,0,0,0,0,7692.1875,16,0,100
urweq.wam,candy-fiesta,1130,1000,2870,1479,1,0,7655.2740,73,0,100
rkgqw.wam,candy-fiesta,873,970,0,0,0,0,7592.8571,7,0,100
1dvb2.wam,candy-fiesta,824,809,67,31,0,1,7576.4000,25,0,100
broketim1ftw,candy-fiesta,903,953,208,97,2,0,7565.8824,17,0,100
ld.bo.wam,candy-fiesta,1070,990,397,218,0,3,7535.8333,6,0,100
r.urc.wam,candy-fiesta,1110,1000,268,154,0,1,7427.1429,14,0,100
j.cr4.wam,candy-fiesta,982,817,2183,1084,0,4,7289.0541,333,0,100
fmlji.wam,candy-fiesta,776,896,1422,667,0,2,7123.4615,26,0,100
udybg.wam,candy-fiesta,910,890,8,5,4,0,7109.2857,7,0,100
antonywax111,candy-fiesta,1064,829,221,126,0,1,7087.3333,30,0,100
nabeg.wam,candy-fiesta,725,1000,200,74,1,0,7038.1373,51,0,100
matotglrinft,candy-fiesta,894,1000,57,32,1,0,7009.7368,57,0,100
1m5ba.wam,candy-fiesta,831,811,38,20,0,1,6964.4286,35,0,100
fatl2.wam,candy-fiesta,886,1000,53,23,0,4,6936.6981,53,0,100
jpnl4.c.wam,candy-fiesta,1071,996,221,119,0,1,6917.0588,17,0,100
l3nre.wam,candy-fiesta,955,945,13,7,1,0,6896.0000,10,0,100
v4bfo.wam,candy-fiesta,887,902,159,77,2,0,6812.5000,18,0,100
qln12.c.wam,candy-fiesta,510,1000,1666,544,1,0,6795.8333,6,0,100
jdfay.wam,candy-fiesta,833,903,25,9,1,0,6753.6364,11,0,100
1bfr4.wam,candy-fiesta,975,910,175,96,1,0,6730.0000,6,0,100
jp5uo.wam,candy-fiesta,838,828,817,411,1,0,6684.1964,56,0,100
yoeum.wam,candy-fiesta,827,817,163,71,0,1,6640.7895,19,0,100
bve3a.c.wam,candy-fiesta,819,1000,8,4,0,2,6402.5000,8,0,100
mcnr2.wam,candy-fiesta,920,995,1070,517,0,2,6399.5455,11,0,100
bzwb4.wam,candy-fiesta,875,935,13,2,0,1,6340.8333,6,0,100
p1dkg.c.wam,candy-fiesta,783,3500,17,7,2,0,6339.1176,17,0,100
akfu4.wam,candy-fiesta,934,1000,12,5,4,0,6328.7500,12,0,100
2iobc.wam,candy-fiesta,886,1000,24,8,0,3,6322.2917,24,0,100
nykb4.wam,candy-fiesta,925,1000,274,118,0,1,6312.8571,14,0,100
aiumk.c.wam,candy-fiesta,769,3500,36,9,1,0,6263.6111,36,0,100
rsnipe24uall,candy-fiesta,611,781,113,39,0,2,6252.2222,9,0,100
z4wng.c.wam,candy-fiesta,938,990,10,3,0,2,6178.1818,11,0,100
2lbhg.wam,candy-fiesta,776,966,39,10,0,5,6172.4359,39,0,100
siw2i.c.wam,candy-fiesta,875,985,37,8,0,1,6125.0000,6,0,100
bs3mu.c.wam,candy-fiesta,594,994,246,88,3,0,6103.0000,5,0,100
sbe.u.c.wam,candy-fiesta,790,1000,817,303,2,0,6062.1429,7,0,100
ovnau.wam,candy-fiesta,846,3500,9,3,0,2,6013.8889,9,0,100
2hls.wam,candy-fiesta,517,887,168,52,0,4,5949.0909,22,0,100
k3bqy.wam,candy-fiesta,909,1000,17,7,2,0,5942.0588,17,0,100
vuojq.wam,candy-fiesta,804,864,8,1,0,3,5936.4286,7,0,100
cuisw.wam,candy-fiesta,783,803,68,30,0,1,5917.5000,6,0,100
jnueo.wam,candy-fiesta,864,3500,6,2,1,0,5840.0000,6,0,100
5yjci.wam,candy-fiesta,510,1000,100,23,1,0,5771.0500,100,0,100
2svbk.wam,candy-fiesta,775,1000,207,67,1,0,5685.0000,8,0,100
vfzdy.wam,candy-fiesta,826,866,8,2,1,0,5660.6250,8,0,100
boab.wam,candy-fiesta,793,843,25,3,0,6,5548.3333,6,0,100
ferau.wam,candy-fiesta,896,911,17,7,0,4,5458.5714,7,0,100
zufb2.wam,candy-fiesta,830,1000,11,0,0,11,5403.0000,5,0,100
